MetaData/stationIdentification,BiasCoefficientValue/ascentSquaredPredictor
034BATBA,-0.002526
03JTTJRA,0.012019
03ZYTKZA,-0.003976
044YR4BA,0.005377
04DBS1ZA,0.004662
04FYR4RA,-0.004274
04I0ELBA,0.000253
05URYCJA,-0.002127
0AJQOMRA,0.004015
0AVUIRRA,-0.000623
0BAFVQBA,0.007353
0BASSNRA,0.007667
0BHKTKBA,0.000517
0CNEIRRA,0.010818
0DBDYXZA,0.000834
0DIBA0BA,-0.001953
0DKUIRBA,-0.001996
0DUYB3RA,0.001404
0EPX2MRA,-0.120852
0ETENVJA,-0.001778
0EVEIEBA,0.003952
0EWATPRA,-0.005690
0EYUISZA,0.002811
0FKUILJA,-0.003011
0FPSA4RA,0.001464
0FVKJFRA,0.008499
0FWUNVRA,-0.001611
0G3UNVRA,-0.002254
0GJUIEBA,-0.007893
0GMDP1JA,0.005237
0GTEISZA,-0.002059
0H0HOABA,-0.009085
0H4ENVBA,-0.001371
0HKEILZA,-0.000887
0HMINGRA,-0.004536
0HMZMSRA,0.026445
0HNHPAZA,-0.003490
0HRGILRA,0.000433
0HWWT5ZA,0.002279
0I1CBZZA,0.016915
0IKEIRRA,-0.010730
0IKWU1JA,-0.001636
0J2IC1RA,0.007940
0J5EISZA,0.007630
0J5SPUZA,-0.003727
0JD0JFZA,-0.000756
0JPEIRBA,0.015959
0JRJBBBA,0.025282
0JXWU1JA,-0.003236
0JYEILZA,-0.017863
0KKVVQBA,0.006709
0KMKJFZA,-0.012130
0KPUISZA,-0.000279
0LLUNVBA,-0.005649
0LV13QZA,0.036615
0LYUNVJA,-0.001223
0M5HRVZA,0.000221
0MJUNVBA,-0.000205
0MSWUWJA,0.000060
0MVKGDBA,0.001167
0MWXLIZA,-0.005505
0N413JRA,-0.038775
0NHWUWJA,-0.004645
0NRTSKZA,-0.014240
0O2FZEJA,0.001497
0O5DTQZA,-0.001104
0OBGUWJA,-0.001775
0OEUILJA,-0.033545
0OLINGBA,0.002604
0PEAPKJA,-0.000752
0Q3X2MJA,0.000031
0QBKJFJA,0.000623
0QCHOGBA,-0.007466
0QCUNVJA,0.001040
0QEGR2RA,-0.001623
0QEUIEBA,0.003363
0QIHQVRA,-0.001920
0QJUISZA,-0.012570
0QRKJFRA,0.001281
0QRX1DZA,-0.002096
0QSYC1RA,-0.016057
0QYBSIBA,-0.003935
0RAYZAZA,0.000480
0RDUILZA,-0.012523
0RE0JFRA,0.014906
0RHUNVRA,-0.002529
0RPBPNBA,-0.000470
0SKENVRA,-0.002636
0SUEIEBA,-0.029679
0TPENVBA,-0.002390
0TSHLKBA,-0.003762
0TT0NRJA,-0.002140
0TTEILZA,-0.000032
0TVINGRA,-0.004696
0TVZMSRA,-0.014268
0UZUOGBA,-0.003326
0V0EOEZA,0.000000
0V4YGHBA,-0.001092
0VF1LNJA,-0.002615
0VKEOGBA,0.001165
0VPICMJA,-0.002728
0VVVD5ZA,-0.003921
0W2IR4JA,-0.000796
0WVXLIJA,-0.010603
0X3FD5JA,0.000285
0XEHUNBA,-0.001867
0YDWUWJA,-0.002609
0YFXRVZA,-0.001465
0YHXLIZA,-0.008526
0YLCB3BA,-0.004917
0YMICZZA,-0.123909
0YUENVBA,-0.000536
0YYWUWJA,-0.000921
0ZM0PZBA,-0.000289
10BEIRBA,-0.067473
10CENVRA,0.012924
10REISZA,-0.001569
11HENVBA,-0.014036
11WCYGJA,0.003794
12AHLIZA,0.001820
12BEILJA,0.024040
12FENVBA,-0.000837
12JWUWJA,-0.002151
12KEILJA,-0.015445
12PCA4RA,-0.000342
12XXRVZA,-0.001847
13BGUWRA,-0.001795
13BYERBA,-0.001252
13GUEUZA,0.001282
13KGUWRA,-0.001545
13T2XYRA,0.001438
144KESRA,0.006569
144KGBZA,0.000822
14DYNGBA,0.001912
14HUILJA,0.000461
14ODWFZA,0.003926
14XBA2RA,0.000165
152WUWRA,-0.004070
15BXLIZA,-0.000204
1A1V0HBA,0.000263
1A51EQBA,0.002672
1ADUOGRA,-0.001152
1AQICMZA,0.003816
1B4GX4ZA,0.001451
1BBYR4JA,0.002598
1BLSO0ZA,-0.002620
1D0IR4JA,-0.002522
1DBSSUJA,0.000302
1DFUOEZA,-0.000230
1DG1C1JA,-0.047047
1DPGE1ZA,0.048430
1DRIR4JA,0.004125
1DYIFEJA,-0.002087
1EBAPOBA,-0.005338
1ECEIRRA,0.004026
1FJRSORA,0.000439
1FQSOHRA,-0.002435
1FZYW3BA,-0.006638
1GNAZDJA,0.005794
1GUUIRRA,0.005558
1GVW2UBA,0.000902
1HFRTXBA,-0.007126
1HTUIRBA,-0.001724
1ILVD5JA,0.000496
1IXYR4JA,-0.000096
1JJ142JA,-0.010479
1JMIR4RA,-0.000306
1KCDAXJA,-0.002893
1KORV2ZA,-0.001209
1MHFVQBA,0.027296
1MTEIRRA,-0.007286
1MTWU1JA,0.000502
1NGCELJA,-0.000627
1NISBMJA,-0.004409
1NNIC1RA,0.008139
1NQL01RA,0.001373
1NUFFSBA,-0.025148
1NWUIRBA,0.001034
1OIEISZA,0.001662
1OVKJFZA,-0.018077
1OWKB4JA,-0.000348
1PJUNVJA,-0.001239
1PRREJZA,0.006202
1PTMMKRA,-0.000195
1QJKTKBA,-0.000596
1QSYR4BA,0.001362
1QWVJGRA,0.000065
1RBLTQRA,-0.000192
1RCQOMBA,-0.017615
1RSKZGZA,-0.000545
1RYFVQBA,-0.005873
1SM1YLZA,-0.001860
1TXCBZJA,0.003820
1UUEISZA,-0.002018
1VAENVRA,-0.000536
1VGEILJA,0.011894
1W30JFRA,-0.000640
1W4EILZA,0.000025
1WAVZRZA,0.002554
1WCRYEZA,0.000000
1WKKFXJA,-0.018900
1WQKJFRA,0.008479
1WRLP3RA,-0.000747
1WTENVRA,-0.001428
1WUKEVZA,0.002322
1X0HRVZA,-0.000150
1X4GUWJA,-0.001395
1X5DSQBA,0.009585
1XCUILZA,-0.001225
1XJICMZA,0.043249
1XWUNVBA,-0.001100
1Y5LZEJA,0.002102
1ZHUIRBA,-0.000090
1ZUYC1RA,0.000000
200VYWRA,0.043825
20BFJGZA,0.000078
20DTTJJA,0.003466
20KHPBZA,-0.001583
20ZBPIRA,0.003811
21AYR4RA,0.001237
21EVJGJA,0.003059
221GU1JA,-0.000265
223UIRRA,-0.000738
22AH1IRA,-0.000268
234EIRBA,-0.010357
23FWU1JA,-0.002119
23OWU1JA,-0.001960
23S0JFZA,-0.000151
23XTB0JA,-0.005019
24IGU1JA,-0.001584
24SMX3BA,-0.000774
25M13QZA,0.112890
2A5KJFJA,0.001499
2ACFZTBA,-0.006868
2AFIP1BA,0.004189
2AV1P3JA,0.001017
2AXUNVJA,-0.000750
2B4XRXBA,-0.001175
2BEYENZA,0.004591
2BGZMSJA,-0.032858
2BMENVRA,-0.000477
2BQEIEBA,-0.001393
2CEUNVJA,0.000225
2CPH42RA,-0.003065
2CQUILZA,-0.024833
2DDUNVRA,-0.002247
2DEXLKBA,0.000261
2DZKFXZA,0.000776
2EGXLIZA,-0.005032
2F0AOZJA,0.000702
2FIIR4ZA,-0.013754
2FK2FKRA,-0.001257
2FYIR4JA,-0.009889
2G1IR4ZA,-0.009596
2GMICMZA,-0.015866
2GPUOGBA,-0.000046
2H4YR4JA,0.001763
2HKBO0RA,-0.009400
2HTXPBZA,-0.060616
2IRINGRA,0.000968
2IRRA2ZA,0.001541
2IWFZEZA,0.001351
2JBDA2BA,0.006922
2JOXPAZA,0.005535
2L3LZ2JA,0.000444
2LHYYYRA,0.000797
2LKUOGRA,-0.000331
2M3IR4RA,-0.004481
2NYWIVZA,-0.053249
2OGBZHZA,0.004034
2PFWCZRA,-0.000541
2PRIR4RA,0.001357
2PVFJGJA,0.002666
2Q1JJARA,-0.003483
2Q5VGABA,-0.000392
2Q5YQ2ZA,0.000461
2QOYCMZA,-0.013346
2QWIR4ZA,0.000641
2R0IR4ZA,0.000842
2RJIR4JA,0.010681
2ROUOGBA,-0.002029
2RRIR4ZA,0.006081
2S1BWBRA,0.003110
2SIEOGBA,0.001252
2SMYGHRA,-0.000939
2SQBPIJA,-0.008805
2TEFD5ZA,0.000431
2TPYR4JA,-0.000938
2TSIR4RA,0.003853
2UMUIRRA,-0.000888
2VMXALRA,-0.015168
2W2EIRRA,-0.000350
2WEMJERA,0.000221
2WRF2OJA,0.001396
2X1EIRBA,0.002342
2XBTZCZA,0.001287
2Y5IR4JA,0.002860
2YMYR4RA,-0.000306
2ZUICDJA,-0.000364
2ZVFXCZA,0.007263
302DO3BA,0.008560
30LHZRRA,0.001384
30QGUWJA,-0.000310
31GEOGRA,-0.001666
31YHLIZA,0.007812
320VD5JA,0.001714
32MEOEZA,-0.001219
32SYO4RA,0.000227
32VYR4RA,0.004815
32YVJGZA,0.002658
333VJGJA,0.002300
33FQOMRA,0.007069
33UBV4BA,0.004376
33ZYR4RA,0.006086
34IUOGBA,-0.005596
35FVJGRA,0.002403
35ZTB5BA,-0.000737
3BBUIRRA,-0.002800
3CBKB4ZA,-0.022337
3CNVVQRA,0.001190
3CZTEPZA,0.010228
3D0EIRRA,0.023783
3D5UNVJA,0.127511
3DDRBZRA,0.001904
3E3UNVJA,-0.001944
3EJTB0JA,-0.008569
3EQENVJA,-0.004024
3ERG3NZA,0.000155
3EZUIEBA,-0.004645
3F0EILZA,-0.007657
3F3XLKBA,-0.001671
3F4ENVRA,-0.001241
3FBEIEBA,-0.000957
3FPBYEZA,0.003567
3FPXRXBA,0.000940
3FVENVRA,-0.001617
3GBUILZA,0.007482
3HUXRXBA,-0.000793
3JLKJFZA,-0.000332
3JUWU1JA,-0.002409
3JYBYTRA,-0.000763
3KCGU1JA,0.000200
3KEUIRRA,-0.013562
3KHIC1JA,0.005785
3KPWU1JA,-0.000295
3LDUIRBA,0.001912
3M0GUWJA,0.000192
3MAYNGRA,0.001817
3MEUILZA,-0.001137
3MZ0GDBA,0.000560
3N0YQ4BA,0.000131
3N5BFFBA,-0.001647
3NPGUWJA,-0.003289
3O0XLKBA,0.003041
3OQ2XYJA,0.000374
3OXWUWJA,-0.000949
3P5XLIZA,-0.000563
3PMEDQRA,-0.004554
3PTUOGRA,-0.000748
3Q2EILZA,0.048301
3QBENVJA,-0.002386
3QMEIEBA,0.016104
3RDICOBA,0.013487
3REUNVRA,-0.003432
3RHBPOZA,-0.000043
3RKHLKBA,-0.006337
3RPENVRA,-0.001262
3SYUIEBA,-0.000797
3TPGT5ZA,0.002681
3TQEILZA,-0.027799
3TZYNGRA,-0.008113
3U0XIRRA,-0.012477
3U5ASWRA,0.000000
3V5VYWJA,0.000769
3VAAYAJA,-0.005795
3VGVD5ZA,0.001822
3VIDTJJA,0.012095
3VOHBAZA,0.000451
3VOYFRZA,0.002117
3VQYR4JA,0.002219
3XDIR4RA,-0.005441
3XDWX4ZA,0.001512
3XIIR4JA,-0.019347
3XOFD5JA,0.000475
3XUUOEZA,-0.001015
3XXBPIJA,-0.014684
3Y1YKIBA,0.043058
3YFXOABA,0.000386
3YHZXBRA,0.001030
3YLGUWJA,-0.001205
3YNHRVZA,0.000294
3ZQHPAZA,0.024395
3ZSTAXZA,-0.003079
401STNZA,-0.000021
40KUISJA,-0.003200
40ZEIRBA,-0.007314
411EILJA,-0.007787
412UISZA,-0.011157
415IC1BA,-0.024691
41GCSIJA,-0.005655
41SEWGRA,-0.052137
41UKJFJA,-0.000502
41XSVTZA,0.002005
42FCELBA,0.000269
42FGUWJA,-0.000891
42PINGBA,-0.002490
42PZMSBA,-0.033553
42ZEILJA,-0.001411
43CWUWRA,-0.002010
43OKGBZA,0.051548
43YYNEZA,-0.002520
44BHL5ZA,0.001634
44FENWZA,-0.002442
44JWUWRA,-0.001508
44ML3RZA,-0.008864
44NXLIJA,-0.007042
44OENWZA,-0.007707
44W0GBZA,-0.000527
45EBA2BA,-0.005637
45O2SCZA,0.020287
45OBO3RA,0.000008
45SGUWRA,-0.001861
4ABQVXZA,0.005375
4B1SV4JA,-0.005272
4BLEOEZA,0.000575
4BPYGHBA,0.001382
4BRMSCJA,0.023352
4BZY4CBA,-0.006758
4C1RFGZA,-0.007481
4CBSTLZA,0.005715
4CCHLIJA,-0.011759
4CNIR4JA,-0.001732
4DKYR4RA,0.001862
4DSYR4JA,0.004317
4EDYR4BA,0.005336
4EHVJGRA,-0.000304
4GPUIRBA,0.054091
4HLJDNRA,-0.011727
4HSSSNBA,0.005818
4I0IR4RA,0.000315
4IBIR4JA,-0.001150
4ICZTOZA,-0.000586
4IJIR4BA,-0.008861
4JCVJGJA,-0.001429
4JEYR4RA,-0.004049
4JGLKIRA,0.001110
4JTDEWZA,-0.000745
4JY0YGBA,0.000947
4K4KWHZA,-0.000540
4KPYR4BA,0.010909
4L00ZTZA,-0.002373
4N4KJFJA,0.018628
4NAEIRBA,-0.010492
4NAH1DZA,-0.000030
4NJMX4ZA,0.000320
4NK13QZA,-0.005885
4PGX1DZA,0.000030
4PJ0JFJA,0.001023
4POGDMJA,0.001837
4QAFJGRA,0.002356
4QKGWTRA,0.001662
4RIFGCJA,0.000674
4ROUIRBA,-0.000969
4RYAPWRA,-0.009176
4S1FGCJA,-0.000711
4SIEIRBA,0.000015
4TIFVQBA,-0.017773
4TOVGCJA,0.001856
4TQCESJA,0.028472
4TYJBCZA,0.009183
4U1UNVRA,-0.000962
4U2ENWZA,-0.006078
4UEUISJA,0.003980
4UHFVRBA,-0.004592
4UYCTXBA,-0.000380
4VIUISJA,-0.000181
4W1UISJA,0.008561
4WIUNVRA,-0.002100
4WLKJFBA,0.000214
4WNATPBA,-0.007444
4WWUILZA,0.015850
4WXTP1RA,0.000347
4X4TPOBA,0.000681
4X5IF2BA,-0.000580
4XAENVBA,0.000316
4XIXLIZA,0.001152
4XNUNVBA,-0.002421
4XRCA4BA,0.005329
4XSXRVZA,-0.000002
4XW0JFBA,0.002783
4XWSPNBA,0.007600
4XWWUWJA,-0.001356
4XZUILRA,-0.021489
4YHSTXRA,-0.003416
4YXYB3BA,0.000247
4YZUISZA,0.000357
4Z0EISJA,-0.006190
4ZPKJFJA,-0.016068
4ZYTB0RA,-0.000786
50BIR4RA,-0.006040
50KIR4RA,-0.001849
50OFJGJA,0.000660
50PIFRRA,-0.000208
51PIR4BA,0.002547
522CVTZA,0.013883
52BYCKJA,-0.000408
52MEISZA,0.002632
53LEISJA,-0.000363
53W0JFJA,-0.010365
53YFVRBA,-0.016698
54HIXDJA,0.012995
54IUIRBA,-0.002793
54TUISJA,-0.001172
550IZAZA,-0.010434
553UISJA,0.010121
554VVRBA,0.002236
55LAPWBA,0.000160
55NUISZA,-0.003755
5ACEILJA,-0.000376
5AFEISZA,0.011407
5ALDF2ZA,0.007152
5B1UILZA,0.000897
5B3MWTJA,0.000226
5BJDERJA,-0.005649
5C5EILJA,-0.001070
5CCUNVRA,-0.001108
5CPEILZA,0.012260
5D2UNVBA,-0.002164
5DEWUWJA,-0.000036
5DHUNVBA,-0.000464
5DPGUWJA,-0.001862
5DQYCMZA,-0.003873
5DR0XBJA,0.048892
5DZHLIZA,-0.006847
5E1HLIJA,0.003435
5EVEOGBA,0.000423
5FBHPBZA,-0.007880
5FBXIRBA,0.107708
5FFTSKJA,0.005768
5FR2ISJA,-0.000782
5H3YFRJA,-0.005793
5H4VD5JA,0.000157
5HHDAXJA,-0.001973
5HTYR4RA,0.003661
5I4INGBA,-0.003785
5IUGUWJA,-0.000995
5JTGUWRA,-0.000654
5JYHIRRA,0.024115
5KYWUWRA,-0.002283
5LBERTRA,-0.001679
5LNWUWRA,-0.003197
5LVHL5JA,-0.000974
5MLIR4RA,-0.008523
5MUGX4JA,0.000345
5NLUOEZA,-0.001755
5O1VJGJA,0.004334
5OACATJA,-0.001347
5OIIR4BA,0.000529
5P4IR4BA,0.006088
5PVI5IBA,-0.078002
5QOWW2ZA,0.001064
5QQTYYRA,0.000340
5QRIESZA,-0.001849
5REF0FZA,0.001254
5RZUSHRA,0.004758
5SFYTPBA,0.000343
5SJDSKRA,0.008839
5STICMJA,-0.015368
5SUEOGBA,0.000396
5SYXPBZA,-0.117890
5T2CO0JA,-0.003211
5TGIR4RA,-0.000852
5TMAOZBA,0.004840
5TPVD5JA,0.001762
5UNIXOBA,0.000036
5V0FGCJA,0.001647
5VJRYCRA,-0.003128
5VRFGCJA,-0.000026
5WKVGCJA,-0.000656
5WNMMKRA,-0.003804
5WREIRBA,-0.003895
5XOBSOBA,-0.001656
5XTSOHBA,-0.003948
5XXVGCJA,-0.000198
5Y3RPDZA,0.005013
5YFGX4JA,0.001783
5YSSATRA,-0.011180
5YSYR4RA,-0.013907
5Z0DB3ZA,-0.001783
5ZRCSUBA,0.005231
9MATM   ,0.000000
A0CBTLBA,0.006529
A0CYR4JA,-0.010221
A0KYR4BA,-0.037447
A0UULOZA,-0.018403
A1HYR4RA,-0.010791
A1RVJGJA,0.002057
A2JLIAZA,0.000000
A2ODSMZA,0.002471
A3ATOZZA,-0.002679
A3DUISZA,-0.001036
A3QX1IBA,-0.002676
A4OYZFBA,0.101566
A5DEIRBA,-0.005166
A5ZDZCJA,0.002148
AAB72   ,0.000000
AAL905  ,0.000000
AAL962  ,0.000000
AAOENVJA,-0.001059
AB1WZGJA,0.003960
ABKGUWZA,-0.000844
ABNKXDBA,-0.004791
ABXEIEBA,0.001046
ABZENVRA,-0.000544
ACA090  ,0.000000
ACC0JFJA,0.000805
ACHUIEBA,-0.006593
ACJITWJA,-0.003791
ACJYC1RA,-0.001226
ACOEISZA,-0.013910
ACPUILJA,-0.009202
ACRUNVJA,-0.003323
ACWH1DZA,-0.015311
AD9997  ,0.000000
ADH0JFRA,0.014088
ADKFVRRA,0.011778
ADMEILJA,0.034329
ADSENVRA,-0.000175
ADUEILZA,-0.011103
AEA009  ,0.000000
AEA023  ,0.000000
AEA024  ,0.000000
AEA025  ,0.000000
AEA026  ,0.000000
AEA041  ,0.000000
AEA042  ,0.000000
AEA043  ,0.000000
AEA045  ,0.000000
AEA046  ,0.000000
AEA057  ,0.000000
AEA058  ,0.000000
AEA083  ,0.000000
AEA083A ,0.000000
AEA084  ,0.000000
AEA126  ,0.000000
AEA341  ,0.000000
AEA342  ,0.000000
AF1XR4BA,-0.000622
AF5IR4JA,-0.000479
AFG2U1JA,0.140376
AFIHLIJA,-0.003662
AFR228  ,0.000000
AFR229  ,0.000000
AFR384V ,0.000000
AFR401  ,0.000000
AFR406  ,0.000000
AFR415  ,0.000000
AFR416  ,0.000000
AFR419  ,0.000000
AFR442  ,0.000000
AFR442A ,0.000000
AFR443  ,0.000000
AFR443A ,0.000000
AFR454  ,0.000000
AFR454A ,0.000000
AFR456  ,0.000000
AFR457  ,0.000000
AFR459  ,0.000000
AFR5300 ,0.000000
AFR5301 ,0.000000
AFR5306 ,0.000000
AFR5307 ,0.000000
AFR6726 ,0.000000
AFR6727 ,0.000000
AFR6900 ,0.000000
AFR6901 ,0.000000
AFR6902 ,0.000000
AFR6903 ,0.000000
AFR6904 ,0.000000
AFR6905 ,0.000000
AFR6906 ,0.000000
AFR6907 ,0.000000
AFR6909 ,0.000000
AFR852  ,0.000000
AFR853  ,0.000000
AFZA07  ,0.004282
AFZA47  ,-0.000268
AFZA48  ,0.002045
AFZA49  ,-0.000635
AFZA57  ,0.007708
AFZA58  ,0.005550
AFZA59  ,0.000033
AFZA78  ,-0.022276
AFZA79  ,0.000620
AFZA89  ,-0.000232
AGJXPDBA,-0.023612
AGWCPKBA,0.004198
AHKITQBA,-0.001321
AHO9737 ,0.000000
AHO9796 ,0.000000
AHO9911 ,0.000000
AI2UNVBA,-0.000466
AIIJMSRA,-0.076081
AIJHLKBA,-0.006536
AIWYNGRA,-0.001504
AIXGUWZA,-0.001077
AJAEILJA,-0.037375
AJYTPORA,-0.004752
AK1WUWJA,-0.001349
AKGTYERA,-0.004552
AKSHLIZA,-0.001685
AKUGUWJA,0.000826
AKVL3TBA,0.025471
AKXENVBA,-0.001569
ALUKGBZA,0.001334
ALXYPZJA,-0.001447
AME4528 ,0.000000
AMFYGHBA,0.000397
AMX015  ,0.000000
AMXSPKBA,-0.000575
AMYYR4JA,0.000000
ANPSV4JA,0.005237
ANQIR4RA,-0.008903
ANZ1002 ,0.000000
ANZ1003 ,0.000000
ANZ1005 ,0.000000
ANZ1007 ,0.000000
AOAYR4RA,-0.014201
AOJ78M  ,0.000000
AOJ95C  ,0.000000
AOJ96M  ,0.000000
AOTIR4JA,0.000164
APHQOZBA,-0.006953
APJBEVRA,-0.001050
APK7881 ,0.000000
APQXPBZA,-0.008566
AQ5WUWRA,-0.005787
AQGHLIZA,-0.000461
ARFCYABA,-0.002216
ARFHR4BA,-0.001081
ARG1050 ,0.000000
ARG1051 ,0.000000
ARG1060 ,0.000000
ARG1061 ,0.000000
ARG1062 ,0.000000
ARG1063 ,0.000000
ARG1064 ,0.000000
ARG1065 ,0.000000
ARG1066 ,0.000000
ARG1067 ,0.000000
ARG1068 ,0.000000
ARG1069 ,0.000000
ARG1070 ,0.000000
ARG1071 ,0.000000
ARG1072 ,0.000000
ARG1073 ,0.000000
ARG1074 ,0.000000
ARG1075 ,0.000000
ARG1076 ,0.000000
ARG1077 ,0.000000
ARG1078 ,0.000000
ARG1079 ,0.000000
ARG1080 ,0.000000
ARG1081 ,0.000000
ARG1082 ,0.000000
ARG1086 ,0.000000
ARG1087 ,0.000000
ARG1088 ,0.000000
ARG1089 ,0.000000
ARG1090 ,0.000000
ARG1091 ,0.000000
ARG1092 ,0.000000
ARG1093 ,0.000000
ARG1132 ,0.000000
ARG1133 ,0.000000
ARG1940 ,0.000000
ARG1970 ,0.000000
ARG1971 ,0.000000
ARG1972 ,0.000000
ARG1980 ,0.000000
ARG1981 ,0.000000
ARG1998 ,0.000000
ARG1999 ,0.000000
AROYR4JA,0.013277
ARRHLIJA,-0.001669
AS0LZ2RA,0.001164
ASEYTWBA,-0.201471
AT0IGHBA,-0.000063
ATG8810 ,0.000000
ATG8811 ,0.000000
ATG9903 ,0.000000
ATG9904 ,0.000000
ATIUOGBA,-0.002920
ATRFD5ZA,0.000855
AU0113  ,-0.001476
AU0114  ,-0.009095
AU0115  ,-0.003957
AU0116  ,-0.000007
AU0117  ,0.000000
AU0118  ,0.000804
AU0119  ,-0.004087
AU0124  ,-0.001304
AU0125  ,-0.006422
AU0126  ,-0.004463
AU0127  ,-0.002498
AU0128  ,-0.006560
AU0129  ,-0.004851
AU0130  ,-0.001926
AU0131  ,-0.000447
AU0132  ,-0.002791
AU0134  ,-0.002880
AU0135  ,-0.002123
AU0136  ,0.000832
AU0137  ,-0.001369
AU0140  ,-0.003917
AU0142  ,-0.003979
AU0144  ,0.000709
AU0145  ,-0.002949
AU0148  ,-0.001364
AU0150  ,-0.001865
AU0151  ,-0.000968
AU0152  ,-0.004683
AU0153  ,-0.005599
AU0154  ,-0.001429
AU0156  ,-0.004390
AU0157  ,-0.000463
AU0158  ,-0.002788
AU0159  ,-0.001299
AU0160  ,-0.004974
AU0161  ,0.000000
AU0162  ,-0.003933
AU0163  ,-0.003165
AU0164  ,-0.001570
AU0165  ,-0.004369
AU0166  ,-0.002262
AU0167  ,-0.001454
AU0168  ,-0.002850
AU0170  ,0.000650
AU0171  ,-0.004927
AU0174  ,-0.005284
AU0175  ,-0.000078
AU0176  ,-0.002457
AU0178  ,-0.008490
AU0180  ,0.000060
AU0181  ,-0.003127
AU0182  ,-0.002794
AU0183  ,-0.001560
AU0184  ,-0.001536
AU0185  ,-0.003042
AU0186  ,-0.003960
AU0187  ,-0.005081
AU0300  ,0.000086
AU0301  ,-0.007418
AU0302  ,-0.003354
AU0303  ,-0.001500
AU0304  ,0.001660
AU0305  ,-0.003477
AU0306  ,-0.001748
AU0320  ,0.001008
AU0321  ,-0.005927
AU0322  ,-0.001902
AU0325  ,0.001547
AU0326  ,0.001439
AU0327  ,0.002042
AU0328  ,0.000624
AU0329  ,-0.000587
AU0330  ,0.000144
AU0331  ,-0.000532
AU0332  ,0.000492
AU0333  ,-0.000138
AU0334  ,0.002404
AU0337  ,-0.000801
AU0350  ,-0.003488
AU0500  ,0.002900
AU2UOHBA,-0.000020
AUCVJGRA,-0.004666
AUKQTWZA,0.001902
AV5GTURA,0.001257
AVA018  ,0.000000
AVA4940 ,0.000000
AVJQJLBA,0.000000
AWC142  ,0.000000
AWC143  ,0.000000
AWC243  ,0.000000
AWC272  ,0.000000
AWC302  ,0.000000
AWC581  ,0.000000
AWC582  ,0.000000
AWC611  ,0.000000
AWC612  ,0.000000
AWC621  ,0.000000
AWC631  ,0.000000
AWC652  ,0.000000
AWC653  ,0.000000
AWC663  ,0.000000
AWC912  ,0.000000
AWCHPBJA,0.018603
AWCVVPBA,-0.010423
AWJBFARA,0.007586
AWSFJGRA,-0.001323
AWUIR4BA,0.000714
AXM119  ,0.000000
AXM5104 ,0.000000
AXM5105 ,0.000000
AXM5106 ,0.000000
AXM5107 ,0.000000
AXM5108 ,0.000000
AXM5109 ,0.000000
AXM511  ,0.000000
AXM5110 ,0.000000
AXM5111 ,0.000000
AXM5112 ,0.000000
AXM5113 ,0.000000
AXM5114 ,0.000000
AXM5115 ,0.000000
AXM5116 ,0.000000
AXM5117 ,0.000000
AXM5118 ,0.000000
AXM5119 ,0.000000
