MetaData/stationIdentification,BiasCoefficientValue/constantPredictor
034BATBA,0.836386
03JTTJRA,0.054328
03ZYTKZA,0.233706
044YR4BA,-1.058632
04DBS1ZA,0.182951
04FYR4RA,1.022625
04I0ELBA,-0.108006
05URYCJA,1.022832
0AJQOMRA,0.255472
0AVUIRRA,1.313975
0BAFVQBA,1.025411
0BASSNRA,-0.055955
0BHKTKBA,-0.183563
0CNEIRRA,-0.552190
0DBDYXZA,0.310357
0DIBA0BA,0.691044
0DKUIRBA,-0.431049
0DUYB3RA,-0.116223
0EPX2MRA,-0.130012
0ETENVJA,0.567404
0EVEIEBA,0.057495
0EWATPRA,-0.473934
0EYUISZA,-0.551409
0FKUILJA,-0.572470
0FPSA4RA,-0.109389
0FVKJFRA,0.404973
0FWUNVRA,0.244452
0G3UNVRA,-0.352403
0GJUIEBA,-0.747360
0GMDP1JA,-0.052161
0GTEISZA,0.791244
0H0HOABA,1.730330
0H4ENVBA,-0.135300
0HKEILZA,-0.073401
0HMINGRA,0.002155
0HMZMSRA,0.935351
0HNHPAZA,1.122166
0HRGILRA,-0.130905
0HWWT5ZA,-0.333791
0I1CBZZA,0.065737
0IKEIRRA,0.121423
0IKWU1JA,0.909238
0J2IC1RA,-0.031263
0J5EISZA,0.787710
0J5SPUZA,0.168911
0JD0JFZA,0.344817
0JPEIRBA,-0.709272
0JRJBBBA,-0.845623
0JXWU1JA,1.358331
0JYEILZA,-0.518034
0KKVVQBA,0.850937
0KMKJFZA,0.219500
0KPUISZA,-0.507733
0LLUNVBA,-0.407880
0LV13QZA,0.754793
0LYUNVJA,0.252514
0M5HRVZA,0.008729
0MJUNVBA,-0.205810
0MSWUWJA,0.379024
0MVKGDBA,0.207557
0MWXLIZA,-0.010343
0N413JRA,1.577694
0NHWUWJA,0.942579
0NRTSKZA,0.721090
0O2FZEJA,0.477681
0O5DTQZA,0.033865
0OBGUWJA,0.332974
0OEUILJA,0.363443
0OLINGBA,-0.117615
0PEAPKJA,0.161162
0Q3X2MJA,-0.316360
0QBKJFJA,0.247766
0QCHOGBA,0.555806
0QCUNVJA,-0.397136
0QEGR2RA,0.517669
0QEUIEBA,0.570303
0QIHQVRA,0.025196
0QJUISZA,0.092906
0QRKJFRA,-0.234322
0QRX1DZA,-0.535737
0QSYC1RA,-0.048830
0QYBSIBA,1.054597
0RAYZAZA,-0.376341
0RDUILZA,0.989102
0RE0JFRA,0.454589
0RHUNVRA,0.031578
0RPBPNBA,0.071933
0SKENVRA,0.343411
0SUEIEBA,-0.488497
0TPENVBA,0.195046
0TSHLKBA,1.422918
0TT0NRJA,0.697260
0TTEILZA,-0.215380
0TVINGRA,-0.006544
0TVZMSRA,0.697270
0UZUOGBA,1.673294
0V0EOEZA,0.000000
0V4YGHBA,0.401434
0VF1LNJA,0.776607
0VKEOGBA,-0.456410
0VPICMJA,-0.532178
0VVVD5ZA,1.357566
0W2IR4JA,-0.116074
0WVXLIJA,-0.101837
0X3FD5JA,-0.114963
0XEHUNBA,0.646053
0YDWUWJA,1.168011
0YFXRVZA,0.753007
0YHXLIZA,0.304090
0YLCB3BA,0.678088
0YMICZZA,1.286779
0YUENVBA,0.100278
0YYWUWJA,0.873547
0ZM0PZBA,-0.314307
10BEIRBA,-0.627966
10CENVRA,-0.399984
10REISZA,-0.325539
11HENVBA,-0.345283
11WCYGJA,0.155422
12AHLIZA,-0.108908
12BEILJA,0.751630
12FENVBA,0.386595
12JWUWJA,0.815803
12KEILJA,0.725067
12PCA4RA,0.517637
12XXRVZA,0.299559
13BGUWRA,0.986867
13BYERBA,0.105987
13GUEUZA,-0.187680
13KGUWRA,0.039408
13T2XYRA,-0.231502
144KESRA,0.438597
144KGBZA,0.053794
14DYNGBA,0.093134
14HUILJA,0.881726
14ODWFZA,-0.031825
14XBA2RA,0.039390
152WUWRA,0.914812
15BXLIZA,0.135239
1A1V0HBA,0.406614
1A51EQBA,-0.392166
1ADUOGRA,-0.058574
1AQICMZA,1.325225
1B4GX4ZA,-0.287588
1BBYR4JA,-0.324957
1BLSO0ZA,0.234873
1D0IR4JA,1.505187
1DBSSUJA,0.255161
1DFUOEZA,-0.072159
1DG1C1JA,1.063682
1DPGE1ZA,-0.351682
1DRIR4JA,0.127828
1DYIFEJA,2.215964
1EBAPOBA,0.792213
1ECEIRRA,0.818940
1FJRSORA,0.131597
1FQSOHRA,0.312424
1FZYW3BA,0.361777
1GNAZDJA,-0.015865
1GUUIRRA,-0.095525
1GVW2UBA,1.751016
1HFRTXBA,0.782107
1HTUIRBA,-0.532854
1ILVD5JA,-0.167442
1IXYR4JA,0.708441
1JJ142JA,0.755724
1JMIR4RA,0.003242
1KCDAXJA,0.622554
1KORV2ZA,0.128424
1MHFVQBA,0.330653
1MTEIRRA,-0.095775
1MTWU1JA,0.292088
1NGCELJA,0.091602
1NISBMJA,0.328522
1NNIC1RA,-0.027625
1NQL01RA,0.595112
1NUFFSBA,1.862894
1NWUIRBA,-0.122932
1OIEISZA,-0.404243
1OVKJFZA,0.587462
1OWKB4JA,-0.309726
1PJUNVJA,0.048263
1PRREJZA,0.580496
1PTMMKRA,-0.473402
1QJKTKBA,0.322346
1QSYR4BA,0.316460
1QWVJGRA,0.553991
1RBLTQRA,0.012389
1RCQOMBA,-0.202059
1RSKZGZA,-0.127400
1RYFVQBA,2.756211
1SM1YLZA,-0.230736
1TXCBZJA,0.128825
1UUEISZA,-0.406792
1VAENVRA,-0.365194
1VGEILJA,-0.413535
1W30JFRA,0.570105
1W4EILZA,1.044810
1WAVZRZA,0.550552
1WCRYEZA,0.000000
1WKKFXJA,-0.064038
1WQKJFRA,0.490947
1WRLP3RA,-0.247703
1WTENVRA,0.280541
1WUKEVZA,-0.427953
1X0HRVZA,0.886303
1X4GUWJA,0.928313
1X5DSQBA,-0.020686
1XCUILZA,0.267484
1XJICMZA,-0.783938
1XWUNVBA,-0.085075
1Y5LZEJA,-0.243111
1ZHUIRBA,-0.471907
1ZUYC1RA,0.000000
200VYWRA,-0.420444
20BFJGZA,1.058768
20DTTJJA,0.067548
20KHPBZA,0.648910
20ZBPIRA,0.103996
21AYR4RA,-0.047389
21EVJGJA,0.557545
221GU1JA,0.753226
223UIRRA,-0.191205
22AH1IRA,-0.480984
234EIRBA,-0.389709
23FWU1JA,0.678929
23OWU1JA,0.752748
23S0JFZA,0.298832
23XTB0JA,-0.016194
24IGU1JA,0.570268
24SMX3BA,-0.347918
25M13QZA,-0.581916
2A5KJFJA,0.584368
2ACFZTBA,0.980839
2AFIP1BA,0.504849
2AV1P3JA,-0.236481
2AXUNVJA,0.047915
2B4XRXBA,1.045129
2BEYENZA,-0.618329
2BGZMSJA,1.309805
2BMENVRA,0.185656
2BQEIEBA,-0.107217
2CEUNVJA,0.156621
2CPH42RA,0.559696
2CQUILZA,-0.482632
2DDUNVRA,-0.183509
2DEXLKBA,0.577322
2DZKFXZA,-0.326111
2EGXLIZA,0.202407
2F0AOZJA,0.029548
2FIIR4ZA,0.096055
2FK2FKRA,-0.299956
2FYIR4JA,0.288488
2G1IR4ZA,2.018301
2GMICMZA,-0.778995
2GPUOGBA,-0.365537
2H4YR4JA,1.079506
2HKBO0RA,1.871923
2HTXPBZA,1.249486
2IRINGRA,-0.014135
2IRRA2ZA,0.060042
2IWFZEZA,0.641858
2JBDA2BA,-0.089934
2JOXPAZA,0.455062
2L3LZ2JA,-0.061924
2LHYYYRA,-0.215113
2LKUOGRA,-0.269484
2M3IR4RA,-0.451653
2NYWIVZA,-0.494216
2OGBZHZA,0.069867
2PFWCZRA,-0.236115
2PRIR4RA,-0.286333
2PVFJGJA,-0.075869
2Q1JJARA,-0.448047
2Q5VGABA,-0.140698
2Q5YQ2ZA,-0.202289
2QOYCMZA,1.343739
2QWIR4ZA,0.174401
2R0IR4ZA,0.401313
2RJIR4JA,0.020256
2ROUOGBA,0.160879
2RRIR4ZA,0.798285
2S1BWBRA,-0.024098
2SIEOGBA,-0.278006
2SMYGHRA,0.350499
2SQBPIJA,-0.079992
2TEFD5ZA,-0.160008
2TPYR4JA,0.499949
2TSIR4RA,0.145218
2UMUIRRA,0.050584
2VMXALRA,0.184699
2W2EIRRA,-0.258947
2WEMJERA,-0.237219
2WRF2OJA,0.687010
2X1EIRBA,-0.305156
2XBTZCZA,-0.019703
2Y5IR4JA,0.047306
2YMYR4RA,-0.180996
2ZUICDJA,-0.274494
2ZVFXCZA,-0.437210
302DO3BA,0.144083
30LHZRRA,-0.317791
30QGUWJA,0.300042
31GEOGRA,0.516506
31YHLIZA,0.169100
320VD5JA,-0.304857
32MEOEZA,-0.168503
32SYO4RA,-0.054316
32VYR4RA,0.466927
32YVJGZA,0.481830
333VJGJA,0.696200
33FQOMRA,-0.128043
33UBV4BA,-0.033978
33ZYR4RA,0.509829
34IUOGBA,0.943159
35FVJGRA,0.220688
35ZTB5BA,0.073300
3BBUIRRA,-0.369720
3CBKB4ZA,0.282516
3CNVVQRA,0.624045
3CZTEPZA,0.119997
3D0EIRRA,-1.232231
3D5UNVJA,-0.412208
3DDRBZRA,0.101963
3E3UNVJA,0.064091
3EJTB0JA,-0.147952
3EQENVJA,0.521666
3ERG3NZA,-0.216709
3EZUIEBA,0.281935
3F0EILZA,0.321245
3F3XLKBA,0.045054
3F4ENVRA,-0.094751
3FBEIEBA,-0.173316
3FPBYEZA,0.123548
3FPXRXBA,0.147707
3FVENVRA,-0.105737
3GBUILZA,-0.580997
3HUXRXBA,-0.135193
3JLKJFZA,0.740716
3JUWU1JA,1.215098
3JYBYTRA,-0.010769
3KCGU1JA,0.140895
3KEUIRRA,-0.461768
3KHIC1JA,0.137261
3KPWU1JA,0.021307
3LDUIRBA,-0.108827
3M0GUWJA,0.094847
3MAYNGRA,-0.317315
3MEUILZA,-0.022109
3MZ0GDBA,0.312800
3N0YQ4BA,0.474460
3N5BFFBA,1.835333
3NPGUWJA,0.727236
3O0XLKBA,0.058067
3OQ2XYJA,-0.226849
3OXWUWJA,1.033320
3P5XLIZA,0.040242
3PMEDQRA,-0.424561
3PTUOGRA,-0.401873
3Q2EILZA,-0.759577
3QBENVJA,0.615983
3QMEIEBA,1.113047
3RDICOBA,-0.220260
3REUNVRA,1.408089
3RHBPOZA,0.096145
3RKHLKBA,0.148533
3RPENVRA,0.002125
3SYUIEBA,0.417062
3TPGT5ZA,-0.208419
3TQEILZA,0.251962
3TZYNGRA,-0.546563
3U0XIRRA,1.216751
3U5ASWRA,0.000000
3V5VYWJA,-0.221557
3VAAYAJA,0.678465
3VGVD5ZA,-0.217454
3VIDTJJA,-0.170179
3VOHBAZA,0.454167
3VOYFRZA,-0.362375
3VQYR4JA,0.667356
3XDIR4RA,0.378654
3XDWX4ZA,-0.207744
3XIIR4JA,2.190278
3XOFD5JA,-0.135007
3XUUOEZA,0.805552
3XXBPIJA,0.075657
3Y1YKIBA,-0.293087
3YFXOABA,-0.264651
3YHZXBRA,-0.424182
3YLGUWJA,0.431894
3YNHRVZA,-0.096966
3ZQHPAZA,0.791265
3ZSTAXZA,0.049715
401STNZA,0.830067
40KUISJA,-0.341074
40ZEIRBA,0.874697
411EILJA,0.181600
412UISZA,-0.087189
415IC1BA,-0.545428
41GCSIJA,0.466756
41SEWGRA,-0.716756
41UKJFJA,0.724818
41XSVTZA,-0.037129
42FCELBA,0.064983
42FGUWJA,0.066616
42PINGBA,-0.288348
42PZMSBA,-0.392900
42ZEILJA,0.130923
43CWUWRA,0.236019
43OKGBZA,1.369875
43YYNEZA,-0.582550
44BHL5ZA,-0.084483
44FENWZA,0.970501
44JWUWRA,0.617150
44ML3RZA,0.005925
44NXLIJA,-2.678720
44OENWZA,0.206927
44W0GBZA,0.260941
45EBA2BA,0.632566
45O2SCZA,0.144413
45OBO3RA,-0.005817
45SGUWRA,1.176669
4ABQVXZA,-0.149347
4B1SV4JA,1.094856
4BLEOEZA,-0.455226
4BPYGHBA,0.383759
4BRMSCJA,0.664998
4BZY4CBA,1.003065
4C1RFGZA,0.893243
4CBSTLZA,0.202883
4CCHLIJA,-0.158335
4CNIR4JA,-0.068504
4DKYR4RA,-0.031638
4DSYR4JA,0.630948
4EDYR4BA,-0.562062
4EHVJGRA,0.124145
4GPUIRBA,1.303517
4HLJDNRA,0.797915
4HSSSNBA,-0.013219
4I0IR4RA,0.550471
4IBIR4JA,0.628852
4ICZTOZA,-0.113556
4IJIR4BA,0.952172
4JCVJGJA,0.503095
4JEYR4RA,-0.543883
4JGLKIRA,-0.085567
4JTDEWZA,0.043005
4JY0YGBA,-0.412355
4K4KWHZA,0.268710
4KPYR4BA,-0.432320
4L00ZTZA,0.844055
4N4KJFJA,0.533936
4NAEIRBA,-0.407695
4NAH1DZA,-0.288580
4NJMX4ZA,-0.121603
4NK13QZA,0.282386
4PGX1DZA,-0.198399
4PJ0JFJA,0.503001
4POGDMJA,-0.264690
4QAFJGRA,1.211754
4QKGWTRA,-0.285953
4RIFGCJA,-0.103143
4ROUIRBA,-0.390040
4RYAPWRA,0.849023
4S1FGCJA,-0.004939
4SIEIRBA,0.601516
4TIFVQBA,0.623340
4TOVGCJA,-0.182852
4TQCESJA,0.218416
4TYJBCZA,-0.193398
4U1UNVRA,-0.317396
4U2ENWZA,-0.443964
4UEUISJA,0.434303
4UHFVRBA,0.159352
4UYCTXBA,0.257352
4VIUISJA,-0.699470
4W1UISJA,-0.395326
4WIUNVRA,0.046183
4WLKJFBA,-0.502626
4WNATPBA,-0.298195
4WWUILZA,0.193293
4WXTP1RA,0.116216
4X4TPOBA,-0.166377
4X5IF2BA,-0.135735
4XAENVBA,-0.287170
4XIXLIZA,0.000477
4XNUNVBA,0.173966
4XRCA4BA,0.121962
4XSXRVZA,-0.306855
4XW0JFBA,0.679673
4XWSPNBA,0.118503
4XWWUWJA,0.664694
4XZUILRA,-0.464666
4YHSTXRA,0.661635
4YXYB3BA,-0.241229
4YZUISZA,-0.418259
4Z0EISJA,-0.324375
4ZPKJFJA,0.118790
4ZYTB0RA,0.110480
50BIR4RA,0.599001
50KIR4RA,0.590613
50OFJGJA,0.491253
50PIFRRA,-0.401656
51PIR4BA,-0.006546
522CVTZA,-0.246567
52BYCKJA,-0.170049
52MEISZA,-0.029101
53LEISJA,0.687902
53W0JFJA,0.638655
53YFVRBA,0.381259
54HIXDJA,-0.731768
54IUIRBA,-0.283998
54TUISJA,0.373881
550IZAZA,1.081475
553UISJA,0.326316
554VVRBA,0.106172
55LAPWBA,-0.051436
55NUISZA,-0.741208
5ACEILJA,-0.341475
5AFEISZA,0.427695
5ALDF2ZA,0.110057
5B1UILZA,0.093961
5B3MWTJA,-0.177506
5BJDERJA,1.041277
5C5EILJA,-0.488279
5CCUNVRA,0.611548
5CPEILZA,-0.060707
5D2UNVBA,0.127230
5DEWUWJA,0.431858
5DHUNVBA,0.055147
5DPGUWJA,0.507179
5DQYCMZA,-0.645746
5DR0XBJA,-0.252649
5DZHLIZA,0.542867
5E1HLIJA,-0.314359
5EVEOGBA,-0.064760
5FBHPBZA,0.690584
5FBXIRBA,1.148248
5FFTSKJA,0.061864
5FR2ISJA,-0.219067
5H3YFRJA,0.971851
5H4VD5JA,0.237260
5HHDAXJA,0.744492
5HTYR4RA,-0.017791
5I4INGBA,-0.388709
5IUGUWJA,0.556773
5JTGUWRA,0.103400
5JYHIRRA,1.253155
5KYWUWRA,0.743562
5LBERTRA,0.633285
5LNWUWRA,0.889368
5LVHL5JA,-0.188186
5MLIR4RA,0.687695
5MUGX4JA,-0.093768
5NLUOEZA,-0.258470
5O1VJGJA,0.686273
5OACATJA,0.504289
5OIIR4BA,-0.342010
5P4IR4BA,0.276386
5PVI5IBA,1.024791
5QOWW2ZA,-0.248361
5QQTYYRA,0.093351
5QRIESZA,-0.009432
5REF0FZA,-0.128145
5RZUSHRA,0.176038
5SFYTPBA,-0.472846
5SJDSKRA,-0.102785
5STICMJA,0.849735
5SUEOGBA,-0.253638
5SYXPBZA,0.910805
5T2CO0JA,-0.103694
5TGIR4RA,-0.103654
5TMAOZBA,-0.000336
5TPVD5JA,-0.203646
5UNIXOBA,-0.217004
5V0FGCJA,-0.191776
5VJRYCRA,1.001683
5VRFGCJA,-0.081164
5WKVGCJA,-0.094182
5WNMMKRA,0.517033
5WREIRBA,0.746170
5XOBSOBA,0.638913
5XTSOHBA,0.373632
5XXVGCJA,-0.146682
5Y3RPDZA,0.092977
5YFGX4JA,-0.283723
5YSSATRA,0.785764
5YSYR4RA,1.164858
5Z0DB3ZA,0.041963
5ZRCSUBA,-0.021595
9MATM   ,0.000000
A0CBTLBA,-0.007328
A0CYR4JA,1.054414
A0KYR4BA,0.595277
A0UULOZA,-0.284905
A1HYR4RA,1.046494
A1RVJGJA,-0.063616
A2JLIAZA,0.000000
A2ODSMZA,-0.125800
A3ATOZZA,0.117809
A3DUISZA,-0.413129
A3QX1IBA,-0.488964
A4OYZFBA,-0.515774
A5DEIRBA,0.636282
A5ZDZCJA,0.185345
AAB72   ,0.000000
AAL905  ,0.000000
AAL962  ,0.000000
AAOENVJA,-0.060963
AB1WZGJA,-0.761390
ABKGUWZA,0.422639
ABNKXDBA,1.470704
ABXEIEBA,-0.531696
ABZENVRA,0.022985
ACA090  ,0.000000
ACC0JFJA,0.606757
ACHUIEBA,0.147524
ACJITWJA,-0.060488
ACJYC1RA,-0.701668
ACOEISZA,0.671531
ACPUILJA,-0.505546
ACRUNVJA,0.081070
ACWH1DZA,-0.436630
AD9997  ,0.000000
ADH0JFRA,0.377127
ADKFVRRA,1.086955
ADMEILJA,-0.299188
ADSENVRA,-0.087471
ADUEILZA,1.290601
AEA009  ,0.000000
AEA023  ,0.000000
AEA024  ,0.000000
AEA025  ,0.000000
AEA026  ,0.000000
AEA041  ,0.000000
AEA042  ,0.000000
AEA043  ,0.000000
AEA045  ,0.000000
AEA046  ,0.000000
AEA057  ,0.000000
AEA058  ,0.000000
AEA083  ,0.000000
AEA083A ,0.000000
AEA084  ,0.000000
AEA126  ,0.000000
AEA341  ,0.000000
AEA342  ,0.000000
AF1XR4BA,-0.013012
AF5IR4JA,0.268426
AFG2U1JA,0.517640
AFIHLIJA,-0.032751
AFR228  ,0.000000
AFR229  ,0.000000
AFR384V ,0.000000
AFR401  ,0.000000
AFR406  ,0.000000
AFR415  ,0.000000
AFR416  ,0.000000
AFR419  ,0.000000
AFR442  ,0.000000
AFR442A ,0.000000
AFR443  ,0.000000
AFR443A ,0.000000
AFR454  ,0.000000
AFR454A ,0.000000
AFR456  ,0.000000
AFR457  ,0.000000
AFR459  ,0.000000
AFR5300 ,0.000000
AFR5301 ,0.000000
AFR5306 ,0.000000
AFR5307 ,0.000000
AFR6726 ,0.000000
AFR6727 ,0.000000
AFR6900 ,0.000000
AFR6901 ,0.000000
AFR6902 ,0.000000
AFR6903 ,0.000000
AFR6904 ,0.000000
AFR6905 ,0.000000
AFR6906 ,0.000000
AFR6907 ,0.000000
AFR6909 ,0.000000
AFR852  ,0.000000
AFR853  ,0.000000
AFZA07  ,-0.047058
AFZA47  ,-0.225569
AFZA48  ,-0.259774
AFZA49  ,0.125464
AFZA57  ,-0.475601
AFZA58  ,-0.169450
AFZA59  ,-0.090482
AFZA78  ,-0.166432
AFZA79  ,-0.197163
AFZA89  ,-0.436231
AGJXPDBA,1.170203
AGWCPKBA,-0.152474
AHKITQBA,-0.116185
AHO9737 ,0.000000
AHO9796 ,0.000000
AHO9911 ,0.000000
AI2UNVBA,0.559293
AIIJMSRA,0.732302
AIJHLKBA,0.876596
AIWYNGRA,0.085295
AIXGUWZA,0.814889
AJAEILJA,1.495038
AJYTPORA,0.054916
AK1WUWJA,0.757110
AKGTYERA,-0.614219
AKSHLIZA,-0.006238
AKUGUWJA,-0.184323
AKVL3TBA,0.051909
AKXENVBA,0.124158
ALUKGBZA,0.357254
ALXYPZJA,0.486422
AME4528 ,0.000000
AMFYGHBA,0.362646
AMX015  ,0.000000
AMXSPKBA,-0.036055
AMYYR4JA,0.000000
ANPSV4JA,0.150854
ANQIR4RA,0.869934
ANZ1002 ,0.000000
ANZ1003 ,0.000000
ANZ1005 ,0.266761
ANZ1007 ,0.000000
AOAYR4RA,1.264253
AOJ78M  ,0.000000
AOJ95C  ,0.000000
AOJ96M  ,0.000000
AOTIR4JA,0.538417
APHQOZBA,0.788789
APJBEVRA,0.301385
APK7881 ,0.000000
APQXPBZA,1.036493
AQ5WUWRA,1.606364
AQGHLIZA,-0.216201
ARFCYABA,-0.050602
ARFHR4BA,1.518069
ARG1050 ,0.000000
ARG1051 ,0.000000
ARG1060 ,0.000000
ARG1061 ,0.000000
ARG1062 ,0.000000
ARG1063 ,0.000000
ARG1064 ,0.000000
ARG1065 ,0.000000
ARG1066 ,0.000000
ARG1067 ,0.000000
ARG1068 ,0.000000
ARG1069 ,0.000000
ARG1070 ,0.000000
ARG1071 ,0.000000
ARG1072 ,0.000000
ARG1073 ,0.000000
ARG1074 ,0.000000
ARG1075 ,0.000000
ARG1076 ,0.000000
ARG1077 ,0.000000
ARG1078 ,0.000000
ARG1079 ,0.000000
ARG1080 ,0.000000
ARG1081 ,0.000000
ARG1082 ,0.000000
ARG1086 ,0.000000
ARG1087 ,0.000000
ARG1088 ,0.000000
ARG1089 ,0.000000
ARG1090 ,0.000000
ARG1091 ,0.000000
ARG1092 ,0.000000
ARG1093 ,0.000000
ARG1132 ,0.000000
ARG1133 ,0.000000
ARG1940 ,0.000000
ARG1970 ,0.000000
ARG1971 ,0.000000
ARG1972 ,0.000000
ARG1980 ,0.000000
ARG1981 ,0.000000
ARG1998 ,0.000000
ARG1999 ,0.000000
AROYR4JA,0.019662
ARRHLIJA,0.469219
AS0LZ2RA,-0.247437
ASEYTWBA,-0.013704
AT0IGHBA,0.409813
ATG8810 ,0.000000
ATG8811 ,0.000000
ATG9903 ,0.000000
ATG9904 ,0.000000
ATIUOGBA,0.727048
ATRFD5ZA,-0.124649
AU0113  ,0.267379
AU0114  ,1.434432
AU0115  ,0.317179
AU0116  ,-0.197785
AU0117  ,0.000000
AU0118  ,-0.609641
AU0119  ,0.275217
AU0124  ,-0.353927
AU0125  ,0.528162
AU0126  ,0.183271
AU0127  ,0.337849
AU0128  ,0.520657
AU0129  ,0.528901
AU0130  ,0.724235
AU0131  ,-0.073684
AU0132  ,0.308587
AU0134  ,0.007961
AU0135  ,-0.226286
AU0136  ,-0.136193
AU0137  ,-0.541922
AU0140  ,0.142649
AU0142  ,0.424974
AU0144  ,-0.314709
AU0145  ,0.496269
AU0148  ,0.080198
AU0150  ,0.874791
AU0151  ,-0.134902
AU0152  ,0.826275
AU0153  ,0.606075
AU0154  ,-0.330341
AU0156  ,0.146906
AU0157  ,-0.276748
AU0158  ,-0.006003
AU0159  ,0.278252
AU0160  ,0.690470
AU0161  ,0.000000
AU0162  ,0.438571
AU0163  ,0.371688
AU0164  ,-0.215142
AU0165  ,0.353854
AU0166  ,0.186790
AU0167  ,0.151553
AU0168  ,0.305807
AU0170  ,0.392599
AU0171  ,0.513287
AU0174  ,0.625659
AU0175  ,-0.237626
AU0176  ,0.704393
AU0178  ,1.019542
AU0180  ,-0.543192
AU0181  ,0.336710
AU0182  ,0.121137
AU0183  ,0.093249
AU0184  ,0.552553
AU0185  ,0.416513
AU0186  ,0.650391
AU0187  ,0.069908
AU0300  ,-0.135660
AU0301  ,1.463203
AU0302  ,0.410424
AU0303  ,1.065866
AU0304  ,-0.064598
AU0305  ,0.522992
AU0306  ,0.428127
AU0320  ,-0.125483
AU0321  ,0.834278
AU0322  ,0.681233
AU0325  ,-0.226117
AU0326  ,-0.073271
AU0327  ,-0.149878
AU0328  ,-0.278553
AU0329  ,-0.344391
AU0330  ,-0.254864
AU0331  ,-0.262905
AU0332  ,-0.171442
AU0333  ,-0.154259
AU0334  ,-0.267515
AU0337  ,-0.012030
AU0350  ,0.620819
AU0500  ,0.381837
AU2UOHBA,-0.249570
AUCVJGRA,1.623419
AUKQTWZA,4.260726
AV5GTURA,-0.204280
AVA018  ,0.000000
AVA4940 ,0.000000
AVJQJLBA,0.000000
AWC142  ,0.000000
AWC143  ,0.000000
AWC243  ,0.000000
AWC272  ,0.000000
AWC302  ,0.000000
AWC581  ,0.000000
AWC582  ,0.000000
AWC611  ,0.000000
AWC612  ,0.000000
AWC621  ,0.000000
AWC631  ,0.000000
AWC652  ,0.000000
AWC653  ,0.000000
AWC663  ,0.000000
AWC912  ,0.000000
AWCHPBJA,0.614603
AWCVVPBA,0.276686
AWJBFARA,0.079819
AWSFJGRA,1.133204
AWUIR4BA,-0.226188
AXM119  ,0.000000
AXM5104 ,0.000000
AXM5105 ,0.000000
AXM5106 ,0.000000
AXM5107 ,0.000000
AXM5108 ,0.000000
AXM5109 ,0.000000
AXM511  ,0.000000
AXM5110 ,0.000000
AXM5111 ,0.000000
AXM5112 ,0.000000
AXM5113 ,0.000000
AXM5114 ,0.000000
AXM5115 ,0.000000
AXM5116 ,0.000000
AXM5117 ,0.000000
AXM5118 ,0.000000
AXM5119 ,0.000000
AXM5120 ,0.000000
AXM5121 ,0.000000
AXM5130 ,0.000000
AXM5131 ,0.000000
AXM5133 ,0.000000
AXM5134 ,0.000000
AXM5135 ,0.000000
AXM5137 ,0.000000
AXM5138 ,0.000000
AXM5139 ,0.000000
AXM5140 ,0.000000
