MetaData/stationIdentification,BiasCoefficientValue/constantPredictor
00005120,-2.647254
00005122,-0.589995
00005123,-0.373346
00005126,-0.069498
00005127,0.064328
00005128,-0.122201
00005129,-0.112076
00005130,-2.744862
00005131,-0.125355
00005134,0.020655
00005136,0.025205
00005137,0.123493
00005138,0.187275
00005139,-6.126166
00005154,-2.640779
00005159,0.644998
00005162,0.105536
00005178,-3.963861
00005186,-2.360074
00005190,-0.872484
00005191,-0.094867
00HQVXZA,0.107882
00UKGDBA,0.000000
01CBZMBA,0.107846
020UFPRA,0.566965
034BATBA,0.610430
03JTTJRA,0.095524
03ZYTKZA,0.103084
044YR4BA,-0.029276
04DBS1ZA,0.043046
04FYR4RA,0.608924
04I0ELBA,-0.054055
051WIVJA,-0.055116
05URYCJA,1.028526
0AJQOMRA,0.087359
0AVUIRRA,0.000000
0BAFVQBA,0.194331
0BASSNRA,0.006639
0BHKTKBA,-0.236610
0CNEIRRA,-0.215854
0DBDYXZA,0.034497
0DIBA0BA,0.346841
0DKUIRBA,-0.101213
0DUYB3RA,-0.025341
0EDUISZA,0.415057
0EPX2MRA,-0.004512
0ETENVJA,0.717725
0EVEIEBA,0.221713
0EWATPRA,-0.006944
0EYUISZA,-0.173380
0FKUILJA,-0.015350
0FPSA4RA,-0.024499
0FVKJFRA,0.523803
0FWUNVRA,0.080571
0G3UNVRA,-0.255821
0GJUIEBA,-0.009767
0GMDP1JA,0.057993
0GTEISZA,0.469627
0H4ENVBA,-0.083248
0HKEILZA,-0.012298
0HMINGRA,0.004163
0HMZMSRA,0.467327
0HNHPAZA,0.002271
0HRGILRA,-0.147364
0HWWT5ZA,-0.164765
0I1CBZZA,0.315276
0IKEIRRA,0.033829
0IKWU1JA,0.055831
0J2IC1RA,0.030691
0J5EISZA,0.496850
0J5SPUZA,0.056614
0JD0JFZA,0.417948
0JPEIRBA,-0.231564
0JRJBBBA,-0.008296
0JXWU1JA,1.536990
0JYEILZA,-0.015016
0KKVVQBA,0.001096
0KMKJFZA,0.235599
0KPUISZA,-0.034247
0LLUNVBA,-0.135273
0LV13QZA,-0.694282
0LYUNVJA,0.334665
0M5HRVZA,0.126309
0MJUNVBA,-0.148612
0MSWUWJA,0.474201
0MVKGDBA,0.317100
0MWXLIZA,0.006231
0N413JRA,1.279789
0NRTSKZA,0.588562
0O2FZEJA,0.568661
0O5DTQZA,0.022414
0OBGUWJA,0.218729
0OEUILJA,0.203348
0OLINGBA,-0.007128
0PEAPKJA,0.127625
0Q3X2MJA,-0.163948
0QBKJFJA,0.270621
0QCHOGBA,0.269654
0QCUNVJA,0.560087
0QEGR2RA,0.568000
0QEUIEBA,0.315362
0QIHQVRA,0.316898
0QJUISZA,0.094441
0QRKJFRA,0.168124
0QRX1DZA,-0.016488
0QSYC1RA,-0.142591
0QYBSIBA,0.915590
0RAYZAZA,-0.271953
0RDUILZA,0.053611
0RE0JFRA,0.394845
0RHUNVRA,0.047686
0RPBPNBA,0.051221
0SKENVRA,0.352659
0SUEIEBA,-0.020259
0TPENVBA,0.303143
0TSHLKBA,1.482827
0TT0NRJA,0.670198
0TTEILZA,-0.252789
0TVINGRA,-0.031065
0TVZMSRA,0.098098
0U4FYWRA,-0.000009
0UZUOGBA,1.777219
0V0EOEZA,0.000000
0V4YGHBA,0.555191
0VF1LNJA,0.013282
0VKEOGBA,-0.177838
0VPICMJA,-0.007458
0VVVD5ZA,1.424631
0W2IR4JA,-0.154878
0WVXLIJA,-0.022353
0X1IR4RA,-0.013714
0X3FD5JA,-0.088386
0XEHUNBA,0.711299
0Y3UILJA,0.000000
0YDWUWJA,1.322783
0YFXRVZA,0.800060
0YHXLIZA,0.040714
0YLCB3BA,0.000000
0YMICZZA,0.000104
0YUENVBA,0.174598
0YYWUWJA,0.807341
0ZM0PZBA,0.657707
10BEIRBA,-0.288386
10CENVRA,-0.017862
10REISZA,-0.035822
11HENVBA,-0.006659
11WCYGJA,0.102722
12AHLIZA,-0.004950
12BEILJA,0.754022
12FENVBA,0.332501
12JWUWJA,0.550735
12KEILJA,0.723514
12PCA4RA,0.111764
12XXRVZA,0.339830
13BGUWRA,0.647840
13GUEUZA,-0.109579
13KGUWRA,0.117427
13T2XYRA,-0.190685
144KESRA,0.110136
144KGBZA,0.227188
14DYNGBA,-0.076924
14HUILJA,0.853815
14ODWFZA,-0.036265
14XBA2RA,0.047694
152WUWRA,0.843890
15BXLIZA,-0.009614
1A1V0HBA,0.145901
1A51EQBA,-0.115091
1ADUOGRA,-0.056524
1AQICMZA,1.008708
1B4GX4ZA,-0.177591
1BBYR4JA,-0.042875
1BLSO0ZA,0.027232
1D0IR4JA,1.097924
1DBSSUJA,0.042637
1DFUOEZA,-0.068456
1DG1C1JA,0.675726
1DPGE1ZA,-0.004040
1DRIR4JA,0.364173
1DYIFEJA,0.213808
1EBAPOBA,0.128122
1ECEIRRA,0.586366
1FJRSORA,0.061199
1FQSOHRA,0.205043
1FZYW3BA,0.002734
1GNAZDJA,0.063877
1GUUIRRA,-0.054413
1GVW2UBA,1.652523
1HFRTXBA,0.123634
1HTUIRBA,-0.224013
1ILVD5JA,-0.110822
1IXYR4JA,0.000125
1JJ142JA,0.028341
1JMIR4RA,0.007217
1KCDAXJA,0.339568
1KORV2ZA,0.132643
1M00IGJA,0.009987
1MHFVQBA,0.002586
1MTEIRRA,0.081488
1MTWU1JA,0.611522
1NGCELJA,0.035655
1NISBMJA,0.370979
1NNIC1RA,0.113532
1NQL01RA,0.390663
1NUFFSBA,0.488002
1NWUIRBA,0.079295
1OIEISZA,-0.036078
1OVKJFZA,0.414223
1OWKB4JA,-0.187251
1PJUNVJA,0.113241
1PRREJZA,0.312339
1PTMMKRA,0.095061
1QJKTKBA,0.267938
1QSYR4BA,0.085569
1QWVJGRA,0.143181
1RBLTQRA,0.016420
1RSKZGZA,-0.046067
1RYFVQBA,0.018494
1SM1YLZA,-0.164762
1TXCBZJA,0.110043
1UUEISZA,-0.040495
1VAENVRA,-0.285714
1VGEILJA,-0.011954
1W30JFRA,0.486515
1W4EILZA,0.603417
1WAVZRZA,0.141932
1WKKFXJA,0.062053
1WQKJFRA,0.441607
1WRLP3RA,-0.133294
1WTENVRA,0.350450
1WUKEVZA,0.051202
1X0HRVZA,0.914958
1X4GUWJA,0.903954
1X5DSQBA,0.000009
1XCUILZA,0.266436
1XJICMZA,-0.009782
1XWUNVBA,-0.037566
1Y5LZEJA,-0.180717
1ZHUIRBA,-0.117387
1ZUYC1RA,0.000000
200VYWRA,-0.017220
20BFJGZA,0.544276
20DTTJJA,0.061170
21AYR4RA,0.016990
21EVJGJA,0.321992
221GU1JA,0.802636
223UIRRA,-0.007937
22AH1IRA,-0.115358
234EIRBA,-0.066366
23FWU1JA,0.773568
23OWU1JA,0.819628
23S0JFZA,0.383037
23XTB0JA,-0.009064
24IGU1JA,0.924704
24SMX3BA,-0.266034
25M13QZA,-0.024327
2A5KJFJA,0.335577
2ACFZTBA,0.993714
2AFIP1BA,0.121559
2AV1P3JA,-0.006040
2AXUNVJA,0.215891
2B4XRXBA,1.130732
2BEYENZA,-0.014382
2BGZMSJA,1.363915
2BMENVRA,0.249277
2BQEIEBA,0.055164
2CEUNVJA,0.201913
2CPH42RA,0.614541
2CQUILZA,-0.032402
2DDUNVRA,-0.108893
2DEXLKBA,0.015906
2DZKFXZA,-0.216964
2EGXLIZA,0.090639
2F0AOZJA,0.038112
2FIIR4ZA,0.008318
2FK2FKRA,-0.160085
2FYIR4JA,0.026809
2G1IR4ZA,0.285313
2GMICMZA,-0.014797
2GPUOGBA,-0.312133
2H4YR4JA,0.976295
2HKBO0RA,0.402632
2IRINGRA,0.008463
2IRRA2ZA,0.016943
2IVEILZA,0.268083
2IWFZEZA,0.324104
2JBDA2BA,-0.006998
2JOXPAZA,0.002956
2L3LZ2JA,-0.037632
2LHYYYRA,-0.165884
2LKUOGRA,-0.020799
2M3IR4RA,-0.034315
2MEFYWJA,-0.000018
2NYWIVZA,-0.031027
2OGBZHZA,0.031165
2OGIR4JA,-0.000042
2PFWCZRA,-0.147256
2PRIR4RA,-0.121718
2PVFJGJA,0.024957
2Q1JJARA,-0.026310
2Q5VGABA,-0.105434
2Q5YQ2ZA,-0.149544
2QOYCMZA,0.377753
2QWIR4ZA,0.035923
2R0IR4ZA,0.101465
2RJIR4JA,0.069719
2ROUOGBA,0.188726
2RRIR4ZA,0.247197
2S1BWBRA,0.034185
2SIEOGBA,-0.001282
2SMYGHRA,0.495998
2SQBPIJA,-0.011923
2TEFD5ZA,-0.098028
2TPYR4JA,0.492950
2TSIR4RA,0.146139
2UMUIRRA,-0.037028
2VMXALRA,0.011155
2W2EIRRA,-0.034547
2WEMJERA,-0.153861
2WRF2OJA,0.610559
2X1EIRBA,-0.041991
2XBTZCZA,0.236262
2Y5IR4JA,-0.007415
2YMYR4RA,-0.071536
2ZUICDJA,-0.155848
2ZVFXCZA,-0.004873
302DO3BA,0.127296
30LHZRRA,-0.332457
30QGUWJA,0.112261
31GEOGRA,0.536043
31YHLIZA,-0.000014
320VD5JA,-0.248645
32MEOEZA,-0.067220
32SYO4RA,0.024503
32VYR4RA,0.016309
32YVJGZA,0.208010
333VJGJA,0.456264
33FQOMRA,-0.002802
33UBV4BA,-0.007015
33ZYR4RA,0.062815
34IUOGBA,1.044838
35FVJGRA,0.142291
35ZTB5BA,0.773949
3BBUIRRA,-0.079026
3CBKB4ZA,0.111929
3CNVVQRA,0.750734
3CZTEPZA,0.027097
3D0EIRRA,-0.338309
3D5UNVJA,-0.017210
3DDRBZRA,0.018155
3E3UNVJA,0.317710
3EJTB0JA,0.018580
3EQENVJA,0.494687
3ERG3NZA,-0.148013
3EZUIEBA,0.164843
3F0EILZA,0.252242
3F3XLKBA,0.014676
3F4ENVRA,-0.047524
3FBEIEBA,-0.171057
3FPBYEZA,0.075663
3FPXRXBA,0.112398
3FVENVRA,-0.148909
3GBUILZA,-0.013235
3HUXRXBA,-0.060173
3JLKJFZA,0.379940
3JUWU1JA,1.191038
3JYBYTRA,0.000000
3KCGU1JA,0.892168
3KEUIRRA,-0.051269
3KHIC1JA,0.204263
3KPWU1JA,0.371154
3LDUIRBA,0.174915
3M0GUWJA,0.128085
3MAYNGRA,-0.010863
3MEUILZA,0.003482
3MZ0GDBA,0.208814
3N5BFFBA,1.440190
3NPGUWJA,0.750253
3O0XLKBA,-0.026154
3OQ2XYJA,-0.136839
3OXWUWJA,1.209307
3P5XLIZA,-0.047259
3PMEDQRA,-0.023390
3PTUOGRA,-0.354627
3QBENVJA,0.644083
3QMEIEBA,0.481353
3RDICOBA,-0.015683
3REUNVRA,0.205702
3RHBPOZA,0.009511
3RKHLKBA,-0.015062
3RPENVRA,0.083498
3SYUIEBA,0.490360
3T3UILZA,0.490741
3TPGT5ZA,-0.147538
3TQEILZA,0.014720
3TZYNGRA,-0.037388
3U5ASWRA,-0.000013
3V5VYWJA,-0.126794
3VAAYAJA,0.329906
3VGVD5ZA,-0.179003
3VIDTJJA,-0.004890
3VOHBAZA,0.008358
3VOYFRZA,-0.297072
3VQYR4JA,0.093440
3XDIR4RA,0.379385
3XDWX4ZA,-0.168891
3XIIR4JA,0.546459
3XOFD5JA,-0.063350
3XUUOEZA,0.483971
3XXBPIJA,0.033896
3Y1YKIBA,-0.001268
3YHZXBRA,-0.299022
3YLGUWJA,0.661651
3YNHRVZA,0.026096
3ZQHPAZA,0.004392
3ZSTAXZA,-0.034411
401STNZA,0.803173
40KUISJA,-0.021987
40ZEIRBA,0.798512
411EILJA,-0.029034
412UISZA,-0.010261
415IC1BA,0.004985
41GCSIJA,0.135820
41SEWGRA,-0.023370
41UKJFJA,0.759352
41XSVTZA,0.006448
42FCELBA,0.809882
42FGUWJA,0.385734
42PINGBA,0.000000
42PZMSBA,0.925042
42ZEILJA,0.239143
43CWUWRA,0.534219
43OKGBZA,1.018230
43YYNEZA,-0.041753
44FENWZA,1.041282
44JWUWRA,0.690167
44ML3RZA,0.797834
44NXLIJA,-0.173796
44OENWZA,-0.424889
44W0GBZA,0.381441
45EBA2BA,0.444696
45OBO3RA,0.005280
45SGUWRA,0.052803
4ABQVXZA,-0.191546
4ATICMZA,0.045739
4B1SV4JA,1.114070
4BLEOEZA,-0.367588
4BPYGHBA,0.628260
4BRMSCJA,0.007683
4BZY4CBA,0.588085
4C1RFGZA,0.165672
4CBSTLZA,0.072268
4CCHLIJA,-0.066161
4CNIR4JA,0.012388
4DKYR4RA,0.021143
4DSYR4JA,0.827472
4EDYR4BA,0.051130
4EHVJGRA,0.044913
4GPUIRBA,0.609130
4HLJDNRA,0.186892
4HSSSNBA,0.031171
4I0IR4RA,0.545299
4IBIR4JA,0.102159
4ICZTOZA,-0.033171
4IJIR4BA,0.586340
4JCVJGJA,0.375198
4JEYR4RA,-0.034399
4JGLKIRA,-0.046525
4JTDEWZA,0.045744
4JY0YGBA,-0.143902
4K4KWHZA,0.234064
4KPYR4BA,-0.033044
4L00ZTZA,1.194396
4N4KJFJA,0.563488
4NAEIRBA,-0.083849
4NJMX4ZA,-0.089876
4NK13QZA,0.276759
4PGX1DZA,-0.080638
4PJ0JFJA,0.434908
4POGDMJA,-0.198469
4QAFJGRA,0.854416
4QKGWTRA,-0.283759
4RIFGCJA,-0.085376
4ROUIRBA,-0.031920
4RYAPWRA,1.046565
4S1FGCJA,-0.017339
4SIEIRBA,0.377032
4TIFVQBA,0.014633
4TOVGCJA,-0.164373
4TQCESJA,0.014963
4TYJBCZA,-0.002563
4U1UNVRA,-0.256710
4U2ENWZA,-0.053733
4UEUISJA,0.497128
4UHFVRBA,-0.021097
4UYCTXBA,0.049768
4VIUISJA,-0.343429
4W1UISJA,-0.070220
4WIUNVRA,0.121286
4WLKJFBA,-0.399070
4WNATPBA,-0.002329
4WUEISJA,0.380599
4WWUILZA,0.010052
4WXTP1RA,0.045347
4X4TPOBA,-0.011558
4X5IF2BA,-0.115982
4XAENVBA,-0.223689
4XIXLIZA,0.023335
4XNUNVBA,0.234918
4XRCA4BA,0.088224
4XSXRVZA,-0.164201
4XW0JFBA,0.518404
4XWSPNBA,0.130399
4XWWUWJA,0.799739
4XZUILRA,-0.024274
4YHSTXRA,0.091057
4YXYB3BA,-0.189573
4YZUISZA,-0.045122
4Z0EISJA,-0.030371
4ZPKJFJA,0.418147
4ZYTB0RA,0.292514
50BIR4RA,0.357239
50KIR4RA,0.010080
50OFJGJA,0.458176
50PIFRRA,2.014236
51PIR4BA,-0.011625
522CVTZA,-0.036458
52BYCKJA,-0.138475
52MEISZA,-0.015006
53B0IGRA,0.010831
53LEISJA,0.070075
53W0JFJA,0.385170
53YFVRBA,0.000338
53ZUILZA,0.082570
54HIXDJA,-0.212360
54IUIRBA,-0.046425
54QKJFJA,0.374007
54TUISJA,0.003696
550IZAZA,0.393426
553UISJA,0.013306
554VVRBA,0.028201
55LAPWBA,0.060629
55NUISZA,-0.161329
5ACEILJA,-0.005666
5AFEISZA,0.059276
5ALDF2ZA,0.069695
5B1UILZA,0.204523
5B3MWTJA,-0.115735
5BJDERJA,1.087025
5C5EILJA,-0.000567
5CCUNVRA,0.737249
5CPEILZA,-0.011206
5D2UNVBA,0.056519
5DEWUWJA,0.573883
5DHUNVBA,-0.052842
5DPGUWJA,0.621531
5DQYCMZA,-0.014385
5DR0XBJA,-0.007545
5DZHLIZA,-0.022165
5EVEOGBA,0.052861
5F0QWDBA,0.000000
5FBHPBZA,0.029099
5FBXIRBA,0.341813
5FFTSKJA,0.018344
5FR2ISJA,-0.152883
5H3YFRJA,1.028613
5H4VD5JA,0.185907
5HHDAXJA,1.196414
5HTYR4RA,0.024834
5I4INGBA,-0.027459
5IUGUWJA,0.565470
5JTGUWRA,0.245199
5KAEILJA,-0.064932
5KYWUWRA,0.825240
5LBERTRA,0.751289
5LNWUWRA,0.925467
5LVHL5JA,-0.103952
5MLIR4RA,0.575838
5MUGX4JA,-0.028087
5NLUOEZA,-0.161736
5O1VJGJA,0.166303
5OACATJA,0.168578
5OIIR4BA,-0.044337
5P4IR4BA,0.010490
5PVI5IBA,0.037206
5QOWW2ZA,-0.131389
5QQTYYRA,0.193374
5QRIESZA,0.000534
5REF0FZA,-0.012357
5RZUSHRA,0.001490
5SFYTPBA,-0.105075
5SJDSKRA,0.010727
5STICMJA,0.472358
5SYXPBZA,0.026591
5T2CO0JA,-0.055454
5TGIR4RA,0.001425
5TMAOZBA,0.001528
5TPVD5JA,-0.095029
5UNIXOBA,-0.015178
5V0FGCJA,-0.122110
5VJRYCRA,0.235862
5VRFGCJA,-0.043573
5WKVGCJA,-0.068709
5WNMMKRA,0.172373
5XOBSOBA,0.170159
5XTSOHBA,0.075880
5XXVGCJA,-0.343225
5Y3RPDZA,0.172659
5YSSATRA,0.257427
5YSYR4RA,1.036137
5Z0DB3ZA,0.069020
5ZRCSUBA,0.456676
A0CBTLBA,-0.004201
A0CYR4JA,0.091110
A0KYR4BA,0.822943
A0UULOZA,-0.006636
A1HYR4RA,0.108687
A1RVJGJA,-0.053270
A2JLIAZA,0.000000
A2ODSMZA,0.102282
A3ATOZZA,0.052181
A3DUISZA,-0.063491
A3QX1IBA,-0.027729
A4OYZFBA,-0.006126
A5DEIRBA,0.144938
A5ZDZCJA,0.103539
AAB72   ,0.000000
AAL905  ,0.000000
AAL962  ,0.000000
AAOENVJA,0.008424
AB1WZGJA,-0.135349
ABKGUWZA,0.420384
ABNKXDBA,1.476788
ABXEIEBA,-0.016340
ABZENVRA,0.047439
ACC0JFJA,0.577977
ACHUIEBA,0.051918
ACJITWJA,-0.033936
ACJYC1RA,-0.639310
ACOEISZA,0.430920
ACPUILJA,-0.030345
ACRUNVJA,0.178884
ACWH1DZA,-0.063635
AD9997  ,0.000000
ADH0JFRA,0.371120
ADMEILJA,-0.012746
ADSENVRA,0.043465
ADUEILZA,0.691841
AEA009  ,0.000000
AEA023  ,0.000000
AEA024  ,0.000000
AEA025  ,0.000000
AEA026  ,0.000000
AEA041  ,0.000000
AEA042  ,0.000000
AEA043  ,0.000000
AEA045  ,0.000000
AEA046  ,0.000000
AEA046A ,0.000000
AEA057  ,0.000000
AEA058  ,0.000000
AEA083  ,0.000000
AEA083A ,0.000000
AEA084  ,0.000000
AEA323  ,0.000000
AEA324  ,0.000000
AEA325  ,0.000000
AEA341  ,0.000000
AEA342  ,0.000000
AF1XR4BA,-0.029092
AF406   ,0.000000
AF5IR4JA,0.020664
AFG2U1JA,0.013860
AFIHLIJA,0.078028
AFR228  ,0.000000
AFR229  ,0.000000
AFR384V ,0.000000
AFR401  ,0.000000
AFR406  ,0.000000
AFR406A ,0.000000
AFR415  ,0.000000
AFR416  ,0.000000
AFR442  ,0.000000
AFR443  ,0.000020
AFR443A ,0.000000
AFR454  ,0.000000
AFR454A ,0.000000
AFR456  ,0.000000
AFR457  ,0.000000
AFR457A ,0.000000
AFR459  ,0.000000
AFR5300 ,0.000000
AFR5301 ,0.000000
AFR5306 ,0.000000
AFR5307 ,0.000000
AFR6726 ,0.000000
AFR6727 ,0.000000
AFR6900 ,0.000000
AFR6901 ,0.000000
AFR6904 ,0.000000
AFR6906 ,0.000000
AFR6907 ,0.000000
AFR6909 ,0.000000
AFR852  ,0.000000
AFR853  ,0.000000
AFZA03  ,0.452724
AFZA04  ,0.410499
AFZA06  ,0.076182
AFZA07  ,0.142760
AFZA48  ,0.685976
AFZA49  ,0.413565
AFZA57  ,0.000000
AFZA58  ,-0.120263
AFZA59  ,0.147785
AFZA70  ,-0.054418
AFZA78  ,-0.235564
AFZA79  ,-0.091809
AFZA89  ,0.000000
AGJXPDBA,0.027588
AGWCPKBA,0.091173
AHO9737 ,0.000000
AI2UNVBA,0.725151
AIIJMSRA,0.241926
AIIUILZA,-0.157407
AIJHLKBA,1.039099
AIWYNGRA,0.021052
AIXGUWZA,0.791084
AJAEILJA,1.022664
AJYTPORA,0.045583
AK1WUWJA,0.794947
AKGTYERA,-0.058631
AKSHLIZA,0.011309
AKUGUWJA,-0.169696
AKVL3TBA,-0.034276
AKXENVBA,0.151882
ALUKGBZA,0.434575
ALXYPZJA,0.495584
AMFYGHBA,0.569741
AMX015  ,0.000000
AMXSPKBA,0.008894
AMYYR4JA,0.006824
ANPSV4JA,0.096110
ANQIR4RA,1.045438
ANZ1002 ,0.000000
ANZ1003 ,0.000000
ANZ1005 ,0.000023
ANZ1007 ,0.000000
AOJ78M  ,0.000000
AOJ96M  ,0.000000
AOTIR4JA,0.006754
APHQOZBA,0.194238
APJBEVRA,0.175811
APQXPBZA,0.000422
AQ5WUWRA,1.604172
AQGHLIZA,0.029538
ARFHR4BA,1.318157
ARG1040 ,0.000000
ARG1050 ,0.000000
ARG1051 ,0.000000
ARG1060 ,0.000000
ARG1061 ,0.000000
ARG1062 ,0.000000
ARG1063 ,0.000000
ARG1064 ,0.000000
ARG1065 ,0.000000
ARG1066 ,0.000000
ARG1067 ,0.000000
ARG1068 ,0.000000
ARG1069 ,0.000000
ARG1070 ,0.000000
ARG1071 ,0.000000
ARG1072 ,0.000000
ARG1073 ,0.000000
ARG1074 ,0.000000
ARG1075 ,0.000000
ARG1076 ,0.000000
ARG1077 ,0.000000
ARG1078 ,0.000000
ARG1079 ,0.000000
ARG1080 ,0.000000
ARG1081 ,0.000000
ARG1082 ,0.000000
ARG1084 ,0.000000
ARG1086 ,0.000000
ARG1087 ,0.000000
ARG1088 ,0.000000
ARG1089 ,0.000000
ARG1090 ,0.000000
ARG1091 ,0.000000
ARG1092 ,0.000000
ARG1093 ,0.000000
ARG1132 ,0.000000
ARG1133 ,0.000000
ARG1920 ,0.000000
ARG1921 ,0.000000
ARG1922 ,0.000000
ARG1923 ,0.000000
ARG1940 ,0.000000
ARG1970 ,0.000000
ARG1971 ,0.000000
ARG1972 ,0.000000
ARG1973 ,0.000000
ARG1975 ,0.000000
AROYR4JA,-0.017828
ARRHLIJA,0.098744
AS0LZ2RA,-0.196178
ASEYTWBA,-0.001021
ASIYCMZA,0.609770
AT0IGHBA,0.590539
ATG8810 ,0.000000
ATG8811 ,0.000000
ATG9903 ,0.000000
ATG9904 ,0.000000
ATRFD5ZA,-0.102056
AU0113  ,0.405409
AU0114  ,1.344622
AU0115  ,0.559743
AU0116  ,-0.036455
AU0117  ,0.000000
AU0118  ,-0.396317
AU0119  ,0.388582
AU0124  ,-0.013913
AU0125  ,0.612419
AU0126  ,0.260768
AU0127  ,0.551777
AU0128  ,0.603034
AU0129  ,0.745117
AU0130  ,0.880272
AU0131  ,0.027149
AU0132  ,0.746606
AU0134  ,0.268486
AU0135  ,-0.128816
AU0136  ,0.091404
AU0137  ,-0.351073
AU0140  ,0.405858
AU0142  ,0.502834
AU0144  ,-0.151210
AU0145  ,0.539420
AU0148  ,0.284694
AU0150  ,0.418312
AU0151  ,0.052298
AU0152  ,0.841859
AU0153  ,0.742638
AU0154  ,-0.150442
AU0156  ,0.332107
AU0157  ,-0.162539
AU0158  ,0.209204
AU0159  ,0.231597
AU0160  ,0.822086
AU0161  ,0.000000
AU0162  ,0.705807
AU0163  ,0.596490
AU0164  ,0.019042
AU0165  ,0.697223
AU0166  ,0.299102
AU0167  ,0.394267
AU0168  ,0.501353
AU0170  ,0.797266
AU0171  ,0.560452
AU0174  ,0.669651
AU0175  ,0.104677
AU0176  ,0.682027
AU0178  ,1.025576
AU0180  ,-0.350910
AU0181  ,0.412866
AU0182  ,0.178168
AU0183  ,0.229887
AU0184  ,0.580519
AU0185  ,0.490214
AU0186  ,0.864065
AU0187  ,0.151643
AU0300  ,-0.052233
AU0301  ,1.615469
AU0302  ,0.288829
AU0303  ,1.193722
AU0304  ,0.079232
AU0305  ,0.637357
AU0306  ,0.580298
AU0320  ,-0.048698
AU0321  ,1.321923
AU0322  ,0.713826
AU0325  ,-0.066971
AU0326  ,0.017568
AU0327  ,-0.076488
AU0328  ,-0.114221
AU0329  ,-0.112686
AU0330  ,0.196872
AU0331  ,-0.209423
AU0332  ,0.029381
AU0333  ,-0.239680
AU0334  ,-0.059336
AU0337  ,0.065094
AU0350  ,0.723977
AU0500  ,0.690525
AU2UOHBA,-0.195584
AUCVJGRA,1.573914
AUKQTWZA,0.471183
AV5GTURA,-0.120245
AVA018  ,0.000000
AVJQJLBA,0.000000
AWC243  ,0.000000
AWC271  ,0.000000
AWC272  ,0.000000
AWC302  ,0.000000
AWC581  ,0.000000
AWC582  ,0.000000
AWC652  ,0.000000
AWC653  ,0.000000
AWC727W ,0.000000
AWC912  ,0.000000
AWCHPBJA,0.001125
AWCVVPBA,0.001009
AWJBFARA,0.241901
AWSFJGRA,1.323197
AWUIR4BA,-0.005632
AXM119  ,0.000000
AXM5104 ,0.000000
AXM5105 ,0.000000
AXM5106 ,0.000000
AXM5107 ,0.000000
AXM5108 ,0.000000
AXM5109 ,0.000000
AXM5110 ,0.000000
AXM5112 ,0.000000
AXM5113 ,0.000000
AXM5114 ,0.000000
AXM5115 ,0.000000
AXM5116 ,0.000000
AXM5117 ,0.000000
AXM5118 ,0.000000
AXM5119 ,0.000000
AXM5130 ,0.000000
AXM5131 ,0.000000
AXM5133 ,0.000000
AXM5134 ,0.000000
AXM5135 ,0.000000
AXM5136 ,0.000000
AXM5137 ,0.000000
AXM5138 ,0.000000
AXM5139 ,0.000000
